Customer Code,Recency,Frequency,Monetary,Total Quantity,R_Score,F_Score,M_Score,RFM_Score_Sum,RFM_Segment,Cluster_ID,Cluster_Name
A001,1,1004,609905.7,23432.5,10,2,1,13,New Customers,5,Sub-Segment 1
A002,40,21,5471.1,306.0,10,1,1,12,New Customers,4,Segment 3
A003,7,47,13618.5,1067.0,10,1,1,12,New Customers,4,Segment 3
A004,27,32,7618.05,932.0,10,1,1,12,New Customers,4,Segment 3
A005,2,1904,363166.5,34042.0,10,2,1,13,New Customers,5,Sub-Segment 1
A007,1,279,1313928.225,80420.0,10,1,1,12,New Customers,5,Sub-Segment 1
A008,7,49,11138.7,732.0,10,1,1,12,New Customers,4,Segment 3
A009,29,39,13072.199999999999,1306.0,10,1,1,12,New Customers,4,Segment 3
A010,356,24,126030.0,5932.0,4,1,1,6,New Customers,4,Segment 3
A011,1,465,738630.0,84056.0,10,1,1,12,New Customers,5,Sub-Segment 1
A012,258,5,3968.4,257.0,6,1,1,8,New Customers,4,Segment 3
A013,1,28,8194.5,402.0,10,1,1,12,New Customers,4,Segment 3
A014,548,2,237.60000000000002,88.0,1,1,1,3,Lost Customers,4,Segment 3
A015,6,54,12021.3,909.0,10,1,1,12,New Customers,4,Segment 3
A016,7,37,10591.35,873.0,10,1,1,12,New Customers,4,Segment 3
A017,14,32,6816.15,1062.0,10,1,1,12,New Customers,4,Segment 3
A018,1,31,10109.25,818.0,10,1,1,12,New Customers,4,Segment 3
A019,14,6,170793.72,2098.0,10,1,1,12,New Customers,4,Segment 3
A020,1,101,37584.6,2390.0,10,1,1,12,New Customers,4,Segment 3
A021,7,26,5409.15,285.0,10,1,1,12,New Customers,4,Segment 3
A022,204,12,2038.2,197.0,7,1,1,9,New Customers,4,Segment 3
A023,2,248,147791.1,9414.0,10,1,1,12,New Customers,4,Segment 3
A024,351,19,6027.0,368.0,4,1,1,6,New Customers,4,Segment 3
A025,7,37,7246.95,419.0,10,1,1,12,New Customers,4,Segment 3
A026,7,77,90600.6,10357.0,10,1,1,12,New Customers,4,Segment 3
A027,28,10,2002.2,118.0,10,1,1,12,New Customers,4,Segment 3
